ID,Type,Pattern,StrokeRGB,FillRGB,Sizing
1,SED,sed601.svg,231f20,FFFFFF,40
2,SED,sed602.svg,231f20,FFFFFF,40
3,SED,sed603.svg,231f20,FFFFFF,40
4,SED,sed605.svg,231f20,FFFFFF,40
5,SED,sed606.svg,231f20,FFFFFF,40
6,SED,sed607.svg,231f20,FFFFFF,40
7,SED,sed608.svg,231f20,FFFFFF,40
8,SED,sed609.svg,231f20,FFFFFF,40
9,SED,sed610.svg,231f20,FFFFFF,40
10,SED,sed611.svg,231f20,FFFFFF,40
11,SED,sed612.svg,231f20,FFFFFF,40
12,SED,sed613.svg,231f20,FFFFFF,40
13,SED,sed614.svg,231f20,FFFFFF,40
14,SED,sed616.svg,231f20,FFFFFF,40
15,SED,sed617.svg,231f20,FFFFFF,40
16,SED,sed618.svg,231f20,FFFFFF,40
17,SED,sed619.svg,231f20,FFFFFF,40
18,SED,sed620.svg,231f20,FFFFFF,40
19,SED,sed621.svg,231f20,FFFFFF,40
20,SED,sed622.svg,231f20,FFFFFF,40
21,SED,sed623.svg,231f20,FFFFFF,40
22,SED,sed624.svg,231f20,FFFFFF,40
23,SED,sed625.svg,231f20,FFFFFF,40
24,SED,sed626.svg,231f20,FFFFFF,40
25,SED,sed627.svg,231f20,FFFFFF,40
26,SED,sed628.svg,231f20,FFFFFF,40
27,SED,sed629.svg,231f20,FFFFFF,40
28,SED,sed630.svg,231f20,FFFFFF,40
29,SED,sed631.svg,231f20,FFFFFF,40
30,SED,sed632.svg,231f20,FFFFFF,40
31,SED,sed633.svg,231f20,FFFFFF,40
32,SED,sed634.svg,231f20,FFFFFF,40
33,SED,sed635.svg,231f20,FFFFFF,40
34,SED,sed636.svg,231f20,FFFFFF,40
35,SED,sed637.svg,231f20,FFFFFF,40
36,SED,sed638.svg,231f20,FFFFFF,40
37,SED,sed639.svg,231f20,FFFFFF,40
38,SED,sed640.svg,231f20,FFFFFF,40
39,SED,sed641.svg,231f20,FFFFFF,40
40,SED,sed642.svg,231f20,FFFFFF,40
41,SED,sed643.svg,231f20,FFFFFF,40
42,SED,sed644.svg,231f20,FFFFFF,40
43,SED,sed645.svg,231f20,FFFFFF,40
44,SED,sed646.svg,231f20,FFFFFF,40
45,SED,sed647.svg,231f20,FFFFFF,40
46,SED,sed648.svg,231f20,FFFFFF,40
47,SED,sed649.svg,231f20,FFFFFF,40
48,SED,sed650.svg,231f20,FFFFFF,40
49,SED,sed651.svg,231f20,FFFFFF,40
50,SED,sed652.svg,231f20,FFFFFF,40
51,SED,sed653.svg,231f20,FFFFFF,40
52,SED,sed654.svg,231f20,FFFFFF,40
53,SED,sed655.svg,231f20,FFFFFF,40
54,SED,sed656.svg,231f20,FFFFFF,40
55,SED,sed657.svg,231f20,FFFFFF,40
56,SED,sed658.svg,231f20,FFFFFF,40
57,SED,sed659.svg,231f20,FFFFFF,40
58,SED,sed660.svg,231f20,FFFFFF,40
59,SED,sed661.svg,231f20,FFFFFF,40
60,SED,sed662.svg,231f20,FFFFFF,40
61,SED,sed663.svg,231f20,FFFFFF,40
62,SED,sed664.svg,231f20,FFFFFF,40
63,SED,sed665.svg,231f20,FFFFFF,40
64,SED,sed666.svg,231f20,FFFFFF,40
65,SED,sed667.svg,231f20,FFFFFF,40
66,SED,sed668.svg,231f20,FFFFFF,40
67,SED,sed669.svg,231f20,FFFFFF,40
68,SED,sed670.svg,231f20,FFFFFF,40
69,SED,sed671.svg,231f20,FFFFFF,40
70,SED,sed672.svg,231f20,FFFFFF,40
71,SED,sed673.svg,231f20,FFFFFF,40
72,SED,sed674.svg,231f20,FFFFFF,40
73,SED,sed675.svg,231f20,FFFFFF,40
74,SED,sed676.svg,231f20,FFFFFF,40
75,SED,sed677.svg,231f20,FFFFFF,40
76,SED,sed678.svg,231f20,FFFFFF,40
77,SED,sed679.svg,231f20,FFFFFF,40
78,SED,sed680.svg,231f20,FFFFFF,40
79,SED,sed681.svg,231f20,FFFFFF,40
80,SED,sed682.svg,231f20,FFFFFF,40
81,SED,sed683.svg,231f20,FFFFFF,40
82,SED,sed684.svg,231f20,FFFFFF,40
83,SED,sed685.svg,231f20,FFFFFF,40
84,SED,sed686.svg,231f20,FFFFFF,40
85,IGM,igm701.svg,231f20,FFFFFF,40
86,IGM,igm702.svg,231f20,FFFFFF,40
87,IGM,igm703.svg,231f20,FFFFFF,40
88,IGM,igm704.svg,231f20,FFFFFF,40
89,IGM,igm705.svg,231f20,FFFFFF,40
90,IGM,igm706.svg,231f20,FFFFFF,40
91,IGM,igm707.svg,231f20,FFFFFF,40
92,IGM,igm708.svg,231f20,FFFFFF,40
93,IGM,igm709.svg,231f20,FFFFFF,40
94,IGM,igm710.svg,231f20,FFFFFF,40
95,IGM,igm711.svg,231f20,FFFFFF,40
96,IGM,igm712.svg,231f20,FFFFFF,40
97,IGM,igm713.svg,231f20,FFFFFF,40
98,IGM,igm714.svg,231f20,FFFFFF,40
99,IGM,igm715.svg,231f20,FFFFFF,40
100,IGM,igm716.svg,231f20,FFFFFF,40
101,IGM,igm717.svg,231f20,FFFFFF,40
102,IGM,igm718.svg,231f20,FFFFFF,40
103,IGM,igm719.svg,231f20,FFFFFF,40
104,IGM,igm720.svg,231f20,FFFFFF,40
105,IGM,igm721.svg,231f20,FFFFFF,40
106,IGM,igm722.svg,231f20,FFFFFF,40
107,IGM,igm723.svg,231f20,FFFFFF,40
108,IGM,igm724.svg,231f20,FFFFFF,40
109,IGM,igm725.svg,231f20,FFFFFF,40
110,IGM,igm726.svg,231f20,FFFFFF,40
111,IGM,igm727.svg,231f20,FFFFFF,40
112,IGM,igm728.svg,231f20,FFFFFF,40
113,IGM,igm729.svg,231f20,FFFFFF,40
114,IGM,igm730.svg,231f20,FFFFFF,40
115,IGM,igm731.svg,231f20,FFFFFF,40
116,IGM,igm732.svg,231f20,FFFFFF,40
117,IGM,igm733.svg,231f20,FFFFFF,40
